Year,Total Number of Divorces,Husband Submitted Divorce,Wife Submitted Divorce,DRMale 20 to 24,DRMale 25 to 29,DRMale 30 to 34,DRMale 35 to 39,DRMale 40 to 44,DRMale 45 to 49,DRMale 50 to 54,DRMale 55 to 59,DRFemale 20 to 24,DRFemale 25 to 29,DRFemale 30 to 34,DRFemale 35 to 39,DRFemale 40 to 44,DRFemale 45 to 49,DRFemale 50 to 54,DRFemale 55 to 59,Husband Submitted - Reason Adultery,Husband Submitted - Reason Unreasonable Behaviour,Wife Submitted - Reason Adultery,Wife Submitted - Reason Unreasonable Behaviour,Total Number of Marriages,First marriage of both parties,One party previously divorced,Both parties previously divorced,Husband - Previously Divorced,Wife - Previously Divorced,Median Age of Single Males Marriage,Median Age of Single Females Marriage,"Persons marrying per 1,000 population of all ages","Men marrying per 1,000 unmarried1 men aged 16 and over","Women marrying per 1,000 unmarried1 women aged 16 and over","Number Men First Time marrying per 1,000 single population aged 16 and over","Number Women First Time marrying per 1,000 single population aged 16 and over","Number Men Re-marrying per 1,000 single population aged 16 and over","Number Women Re-marrying per 1,000 single population aged 16 and over"
2016,"106,959","41,669","65,290",9.4,13.2,13,13.4,13.6,13.8,10.8,7.8,11.8,12.7,13.9,13.9,13.7,12.9,9.3,5.9,4429,15020,7543,33191,,"64,243","19,061","9,292","19,330","18,670",,,,,,,,,
2015,"101,055","38,490","62,565",10.5,13,11.9,12.6,13.1,12.6,10.1,7.1,11.2,13.3,12.4,12.7,12.9,12,8.7,5.1,4475,14179,7673,32636,"239,020","59,228","17,806","8,422","17,806","17,231",31.5,29.7,8.3,21.7,19.8,20.7,24.3,25.4,12.5
2014,"111,169","41,364","69,803",13.2,13.5,14,13.9,14.6,13.7,11,7.4,12.1,14.8,14.5,13.8,14.9,12.8,9.4,5.5,5118,15630,8932,36908,"247,372","65,375","20,110","9,810","20,386","19,726",31.2,29.5,8.6,23,20.9,22.1,25.9,26.2,12.8
2013,"114,720","40,635","74,076",14.7,15.9,15.8,16.7,16.7,15.3,12,7.8,16.3,16.8,16.2,16.2,16.2,14,10,5.7,5263,15332,9907,39879,"240,854","81,822","21,648","10,627","21,645","21,257",31.1,29.3,8.5,22.5,20.4,21.7,25.6,25.3,12.2
2012,"118,140","41,601","76,490",17.5,17.4,17.3,17.9,17.8,15.8,11.9,7.7,17,18.7,17.5,17,16.8,14.3,9.7,5.7,5675,15210,10320,41248,"263,640","83,684","22,791","11,014","22,597","22,222",31,29.1,9.3,24.6,22.5,23.9,28.4,27.2,13.4
2011,"117,558","40,414","77,083",19.5,17.1,18.8,17.9,18,15.4,11.5,7.6,16.4,18.5,18.5,17.5,16.9,13.9,9.5,5.5,6173,14597,11129,41835,"249,133","82,409","23,146","11,336","23,102","22,716",30.9,29.1,8.9,23.4,21.3,22.6,26.6,26.2,12.9
2010,"119,589","40,338","79,178",15.5,17.8,17.7,19.3,17.9,15.4,11.3,7.3,16.9,19,17.9,18.5,17.1,13.7,9.2,5.1,6595,14516,12150,43186,"243,808","83,581","23,775","11,535","23,605","23,240",30.8,29,8.8,23.6,21.3,22.7,27,26.8,12.6
2009,"113,949","38,043","75,834",14.2,18.2,17.4,17.6,16.4,14.9,10.4,6.9,16.1,18.2,17.5,17.3,15.8,13,8.4,4.9,6493,13266,12096,41091,"232,443","79,332","22,815","11,144","22,709","22,394",30.8,28.9,8.4,22.8,20.5,21.7,25.9,26.7,12.6
2008,"121,708","40,143","81,466",14,17.7,18.5,19.1,17.8,15.7,11.5,7.1,17.1,19.5,18.5,18.3,17.3,13.7,9,5.2,7328,13790,13437,43773,"235,794","84,466","24,586","11,992","24,521","24,049",30.8,28.8,8.6,23.5,21,21.9,26.1,28.9,13.6
2007,"128,131","40,878","87,151",16.6,19.5,20.1,20.1,18.8,15.9,11.6,7.4,18.2,21.2,20.3,19,18.3,13.9,9.1,5.2,8058,13613,14997,47185,"235,367","88,762","25,978","12,675","25,895","25,433",30.8,28.7,8.7,24,21.4,22.1,26.4,30.6,14.1
